objectid,name,address,address2,municipal,state,zipcode,latitude,longitude,prim_type
361,Chucky's Lucky Mart,7 Railroad Ave, ,Swampscott,MA,1907,42.47348,-70.922177,Convenience
362,Cia Brazil,65 Central St, ,Leominster,MA,1453,42.523478,-71.758902,Convenience
363,Cibao Market,118 S Common St, ,Lynn,MA,1902,42.462897,-70.958094,Convenience
364,Cigs & Mgas,1815 Massachusetts Ave, ,Cambridge,MA,2140,42.387132,-71.118795,Convenience
365,Circle K Midwest,100 Newport Avenue Ext, ,Quincy,MA,2171,42.278826,-71.035537,Convenience
366,City Convenience Store,182 Harvard Ave, ,Allston,MA,2134,42.351097,-71.131131,Convenience
367,City Grocery Store,11 Ruth St, ,New Bedford,MA,2744,41.609356,-70.915184,Convenience
368,City Mart,120 Lowell, ,Methuen,MA,1844,42.731224,-71.174354,Convenience
369,City Mini Mart,150 Belmont Ave, ,Springfield,MA,1108,42.088506,-72.572331,Convenience
370,Civic Center Convenience,54 Woodcrest Dr, ,Chicopee,MA,1020,42.181674,-72.582682,Convenience
371,Classic Convenience Inc,425 Washington St, ,Weymouth,MA,2188,42.208971,-70.958705,Convenience
372,Clerks Inc,247a Plymouth St, ,Holbrook,MA,2343,42.152033,-70.998007,Convenience
373,CNS Convenience Store,67 N Main St, ,Leominster,MA,1453,42.534129,-71.756332,Convenience
374,Codman Square Mkt Grocery Str,573 Washington St, ,Dorchester Ctr,MA,2124,42.29162,-71.071774,Convenience
375,Colonial Mart,39 Southwick St, ,Feeding Hills,MA,1030,42.066529,-72.680343,Convenience
376,Colony Market,162 Cordaville Rd # 100, ,Southborough,MA,1772,42.287455,-71.525185,Convenience
377,Columbia Road Market II,387 Columbia Rd, ,Dorchester,MA,2125,42.311042,-71.070132,Convenience
378,Common Convenience,5 Stevens St, ,Littleton,MA,1460,42.545709,-71.473265,Convenience
379,Commons Convenience Inc,4 Greenfield Dr, ,Sandwich,MA,2563,41.687433,-70.447421,Convenience
380,Community Convenience Store,44 Norfolk St, ,Dorchester,MA,2124,42.289037,-71.07317,Convenience
381,Community Latin Grocery,136 Highland St # A, ,Chelsea,MA,2150,42.390841,-71.029517,Convenience
382,Concord Convenience,170 Concord Rd # B, ,Chelmsford,MA,1824,42.568389,-71.350608,Convenience
383,Constellation Convenience Str,1304 Commonwealth Ave, ,Allston,MA,2134,42.348573,-71.134007,Convenience
384,Contszanes Convenience,801 N Main St, ,Fall River,MA,2720,41.712708,-71.153422,Convenience
385,Convenience Centre,46 Maplewood Dr, ,Fall River,MA,2721,41.675993,-71.145698,Convenience
